  cell  ,E,W,N,S
"(44, 2)",1,1,0,0
"(45, 2)",0,1,0,1
"(46, 2)",1,0,1,0
"(47, 2)",1,0,0,1
"(48, 2)",1,0,1,1
"(49, 2)",0,1,1,0
"(50, 2)",0,1,0,1
"(51, 2)",1,0,1,0
"(52, 2)",1,1,0,1
"(53, 2)",0,1,1,0
"(54, 2)",1,1,0,0
"(55, 2)",1,0,0,1
"(56, 2)",1,1,1,0
"(57, 2)",0,1,0,1
"(58, 2)",1,1,1,0
"(59, 2)",1,1,0,0
"(60, 2)",0,1,0,0
"(1, 3)",1,1,0,1
"(2, 3)",0,1,1,0
"(3, 3)",0,1,0,1
"(4, 3)",0,1,1,0
"(5, 3)",1,0,0,1
"(6, 3)",1,1,1,0
"(7, 3)",0,1,0,1
"(8, 3)",1,1,1,1
"(9, 3)",1,0,1,1
"(10, 3)",1,0,1,0
"(11, 3)",1,1,0,1
"(12, 3)",1,1,1,1
"(13, 3)",0,1,1,0
"(14, 3)",1,0,0,0
"(15, 3)",1,0,0,1
"(16, 3)",0,1,1,1
"(17, 3)",1,0,1,1
"(18, 3)",0,0,1,1
"(19, 3)",1,1,1,0
"(20, 3)",1,0,0,1
"(21, 3)",0,1,1,0
"(22, 3)",0,1,0,1
"(23, 3)",0,0,1,1
"(24, 3)",0,1,1,1
"(25, 3)",0,1,1,1
"(26, 3)",1,0,1,0
"(27, 3)",1,1,0,0
"(28, 3)",1,1,0,0
"(29, 3)",0,1,0,1
"(30, 3)",1,0,1,0
"(31, 3)",1,0,0,1
"(32, 3)",0,1,1,0
"(33, 3)",1,0,0,1
"(34, 3)",0,1,1,1
"(35, 3)",0,1,1,1
"(36, 3)",1,0,1,0
"(37, 3)",1,1,0,0
"(38, 3)",0,1,0,1
"(39, 3)",1,0,1,0
"(40, 3)",1,1,0,1
"(41, 3)",0,1,1,0
"(42, 3)",1,1,0,0
"(43, 3)",1,1,0,1
"(44, 3)",0,1,1,0
"(45, 3)",1,0,0,1
"(46, 3)",0,1,1,0
"(47, 3)",1,1,0,0
"(48, 3)",1,1,0,1
"(49, 3)",0,0,1,1
"(50, 3)",0,0,1,1
"(51, 3)",1,1,1,1
"(52, 3)",0,1,1,1
"(53, 3)",1,0,1,0
"(54, 3)",1,1,0,1
"(55, 3)",1,1,1,0
"(56, 3)",1,1,0,1
"(57, 3)",1,0,1,1
"(58, 3)",0,1,1,0
"(59, 3)",1,1,0,1
"(60, 3)",1,0,1,0
"(1, 4)",1,1,0,1
"(2, 4)",0,0,1,1
"(3, 4)",0,0,1,1
"(4, 4)",1,0,1,1
"(5, 4)",0,1,1,0
"(6, 4)",1,1,0,1
"(7, 4)",0,0,1,1
"(8, 4)",1,1,1,0
"(9, 4)",0,1,0,0
"(10, 4)",1,1,0,1
"(11, 4)",0,1,1,0
"(12, 4)",0,1,0,1
"(13, 4)",1,0,1,0
"(14, 4)",0,1,0,1
"(15, 4)",1,1,1,0
"(16, 4)",1,0,0,0
"(17, 4)",0,1,0,1
"(18, 4)",1,0,1,0
"(19, 4)",1,1,0,0
"(20, 4)",0,1,0,1
"(21, 4)",0,0,1,1
"(22, 4)",0,0,1,1
"(23, 4)",1,0,1,1
"(24, 4)",0,0,1,1
"(25, 4)",1,0,1,1
"(26, 4)",0,1,1,1
"(27, 4)",1,1,1,0
"(28, 4)",0,1,0,1
"(29, 4)",0,0,1,1
"(30, 4)",0,1,1,0
"(31, 4)",0,1,0,1
"(32, 4)",0,0,1,1
"(33, 4)",1,1,1,1
"(34, 4)",0,0,1,1
"(35, 4)",1,0,1,1
"(36, 4)",0,1,1,0
"(37, 4)",0,1,0,1
"(38, 4)",1,0,1,1
"(39, 4)",1,1,1,1
"(40, 4)",1,1,1,0
"(41, 4)",1,0,0,0
"(42, 4)",1,1,0,0
"(43, 4)",0,1,0,1
"(44, 4)",1,0,1,0
"(45, 4)",0,1,0,1
"(46, 4)",0,0,1,1
"(47, 4)",0,1,1,1
"(48, 4)",1,1,1,1
"(49, 4)",0,0,1,0
"(50, 4)",1,0,0,1
"(51, 4)",1,1,1,0
"(52, 4)",1,0,0,1
"(53, 4)",0,1,1,1
"(54, 4)",1,1,1,0
"(55, 4)",1,1,0,1
"(56, 4)",0,1,1,0
"(57, 4)",1,1,0,1
"(58, 4)",1,0,1,0
"(59, 4)",0,1,0,0
"(60, 4)",1,1,0,0
"(1, 5)",0,1,0,0
"(2, 5)",1,0,0,1
"(3, 5)",1,0,1,0
"(4, 5)",0,1,0,1
"(5, 5)",0,0,1,1
"(6, 5)",0,1,1,1
"(7, 5)",1,0,1,0
"(8, 5)",0,1,0,1
"(9, 5)",1,0,1,0
"(10, 5)",1,1,0,0
"(11, 5)",1,0,0,1
"(12, 5)",1,0,1,0
"(13, 5)",0,1,0,1
"(14, 5)",1,0,1,0
"(15, 5)",0,1,0,1
"(16, 5)",0,1,1,1
"(17, 5)",1,0,1,1
"(18, 5)",0,1,1,0
"(19, 5)",1,1,0,0
"(20, 5)",1,0,0,1
"(21, 5)",0,0,1,1
"(22, 5)",1,0,1,0
"(23, 5)",1,1,0,1
"(24, 5)",0,0,1,1
"(25, 5)",0,1,1,1
"(26, 5)",0,0,1,1
"(27, 5)",1,1,1,1
"(28, 5)",0,0,1,1
"(29, 5)",0,0,1,1
"(30, 5)",1,0,1,0
"(31, 5)",1,0,0,1
"(32, 5)",0,0,1,1
"(33, 5)",1,1,1,1
"(34, 5)",1,0,1,0
"(35, 5)",0,1,0,1
"(36, 5)",1,0,1,1
"(37, 5)",0,0,1,0
"(38, 5)",1,1,0,0
"(39, 5)",0,1,0,0
"(40, 5)",1,1,0,0
"(41, 5)",0,1,0,1
"(42, 5)",0,1,1,1
"(43, 5)",1,0,1,0
"(44, 5)",1,1,0,1
"(45, 5)",1,0,1,1
"(46, 5)",0,0,1,0
"(47, 5)",1,0,0,1
"(48, 5)",0,1,1,0
"(49, 5)",1,0,0,1
"(50, 5)",1,1,1,0
"(51, 5)",1,1,0,0
"(52, 5)",1,1,0,0
"(53, 5)",1,0,0,1
"(54, 5)",1,1,1,0
"(55, 5)",0,1,0,1
"(56, 5)",0,0,1,1
"(57, 5)",1,1,1,0
"(58, 5)",1,1,0,1
"(59, 5)",0,0,1,1
"(60, 5)",0,1,1,0
"(1, 6)",1,0,0,1
"(2, 6)",0,1,1,0
"(3, 6)",1,1,0,1
"(4, 6)",1,0,1,0
"(5, 6)",1,0,0,1
"(6, 6)",1,0,1,1
"(7, 6)",0,1,1,0
"(8, 6)",1,0,0,1
"(9, 6)",0,1,1,0
"(10, 6)",0,1,0,1
"(11, 6)",0,1,1,0
"(12, 6)",0,1,0,1
"(13, 6)",1,0,1,0
"(14, 6)",1,1,0,0
"(15, 6)",1,0,0,1
"(16, 6)",1,0,1,0
"(17, 6)",0,1,0,1
"(18, 6)",1,0,1,0
"(19, 6)",1,1,0,1
"(20, 6)",0,1,1,1
"(21, 6)",1,0,1,1
"(22, 6)",0,1,1,0
"(23, 6)",1,1,0,1
"(24, 6)",1,0,1,1
"(25, 6)",0,0,1,1
"(26, 6)",0,0,1,1
"(27, 6)",1,1,1,1
"(28, 6)",1,0,1,1
"(29, 6)",0,0,1,0
"(30, 6)",1,1,0,0
"(31, 6)",0,1,0,1
"(32, 6)",0,0,1,1
"(33, 6)",1,1,1,0
"(34, 6)",0,1,0,1
"(35, 6)",1,0,1,0
"(36, 6)",0,1,0,1
"(37, 6)",1,0,1,1
"(38, 6)",0,1,1,1
"(39, 6)",1,0,1,0
"(40, 6)",1,1,0,1
"(41, 6)",0,0,1,1
"(42, 6)",1,0,1,0
"(43, 6)",1,1,0,0
"(44, 6)",0,1,0,0
"(45, 6)",0,1,0,1
"(46, 6)",0,0,1,1
"(47, 6)",0,1,1,0
"(48, 6)",1,0,0,1
"(49, 6)",0,1,1,0
"(50, 6)",1,1,0,0
"(51, 6)",1,1,0,1
"(52, 6)",1,1,1,0
"(53, 6)",1,1,0,0
"(54, 6)",1,1,0,1
"(55, 6)",0,0,1,1
"(56, 6)",1,0,1,0
"(57, 6)",1,1,0,0
"(58, 6)",1,1,0,0
"(59, 6)",1,0,0,1
"(60, 6)",1,0,1,0
"(1, 7)",0,1,0,1
"(2, 7)",1,0,1,1
"(3, 7)",1,1,1,0
"(4, 7)",1,1,0,1
"(5, 7)",0,1,1,0
"(6, 7)",1,1,0,1
"(7, 7)",0,0,1,1
"(8, 7)",0,1,1,0
"(9, 7)",1,0,0,1
"(10, 7)",1,0,1,0
"(11, 7)",1,0,0,1
"(12, 7)",0,0,1,1
"(13, 7)",0,1,1,0
"(14, 7)",0,1,0,1
"(15, 7)",0,1,1,0
"(16, 7)",0,1,0,1
"(17, 7)",1,0,1,1
"(18, 7)",0,1,1,0
"(19, 7)",1,1,0,1
"(20, 7)",0,0,1,1
"(21, 7)",0,1,1,1
"(22, 7)",0,0,1,1
"(23, 7)",1,1,1,0
"(24, 7)",0,1,0,1
"(25, 7)",1,0,1,1
"(26, 7)",0,0,1,1
"(27, 7)",1,1,1,0
"(28, 7)",1,1,0,1
"(29, 7)",1,0,1,1
"(30, 7)",0,1,1,1
"(31, 7)",1,0,1,1
"(32, 7)",0,0,1,0
"(33, 7)",0,1,0,1
"(34, 7)",1,0,1,0
"(35, 7)",0,1,0,1
"(36, 7)",1,0,1,1
"(37, 7)",1,1,1,1
"(38, 7)",0,0,1,1
"(39, 7)",0,1,1,1
"(40, 7)",0,1,1,1
"(41, 7)",0,0,1,1
"(42, 7)",0,1,1,0
"(43, 7)",0,1,0,1
"(44, 7)",1,0,1,1
"(45, 7)",0,0,1,1
"(46, 7)",0,0,1,1
"(47, 7)",0,0,1,1
"(48, 7)",0,1,1,0
"(49, 7)",1,0,0,1
"(50, 7)",0,1,1,1
"(51, 7)",1,1,1,0
"(52, 7)",0,1,0,1
"(53, 7)",0,1,1,1
"(54, 7)",1,1,1,0
"(55, 7)",0,0,0,1
"(56, 7)",0,1,1,0
"(57, 7)",1,1,0,1
"(58, 7)",0,1,1,1
"(59, 7)",1,1,1,0
"(60, 7)",1,1,0,0
"(1, 8)",1,0,0,1
"(2, 8)",0,1,1,0
"(3, 8)",1,1,0,1
"(4, 8)",0,1,1,1
"(5, 8)",1,0,1,1
"(6, 8)",0,1,1,0
"(7, 8)",1,0,0,1
"(8, 8)",0,0,1,1
"(9, 8)",0,1,1,0
"(10, 8)",1,1,0,0
"(11, 8)",0,1,0,1
"(12, 8)",0,0,1,1
"(13, 8)",0,0,1,1
"(14, 8)",0,0,1,1
"(15, 8)",0,0,1,1
"(16, 8)",0,0,1,1
"(17, 8)",1,1,1,0
"(18, 8)",0,0,0,1
"(19, 8)",0,1,1,1
"(20, 8)",0,0,1,0
"(21, 8)",1,0,0,1
"(22, 8)",0,0,1,1
"(23, 8)",0,1,1,1
"(24, 8)",0,0,1,1
"(25, 8)",1,1,1,0
"(26, 8)",1,0,0,0
"(27, 8)",1,1,0,1
"(28, 8)",1,1,1,0
"(29, 8)",1,1,0,0
"(30, 8)",0,0,0,1
"(31, 8)",0,1,1,0
"(32, 8)",1,0,0,1
"(33, 8)",1,0,1,0
"(34, 8)",0,1,0,1
"(35, 8)",1,0,1,0
"(36, 8)",1,1,0,0
"(37, 8)",1,1,0,1
"(38, 8)",0,0,1,1
"(39, 8)",1,0,1,1
"(40, 8)",0,0,1,1
"(41, 8)",1,0,1,1
"(42, 8)",0,0,1,1
"(43, 8)",1,0,1,1
"(44, 8)",0,1,1,1
"(45, 8)",1,0,1,0
"(46, 8)",0,0,0,1
"(47, 8)",1,0,1,0
"(48, 8)",1,0,0,1
"(49, 8)",1,1,1,0
"(50, 8)",1,0,0,1
"(51, 8)",0,1,1,1
"(52, 8)",0,0,1,1
"(53, 8)",1,0,1,0
"(54, 8)",0,1,0,0
"(55, 8)",1,0,0,1
"(56, 8)",1,0,1,1
"(57, 8)",0,1,1,1
"(58, 8)",0,0,1,0
"(59, 8)",1,1,0,1
"(60, 8)",0,1,1,0
"(1, 9)",0,1,0,1
"(2, 9)",1,0,1,0
"(3, 9)",1,1,0,0
"(4, 9)",1,0,0,1
"(5, 9)",0,1,1,1
"(6, 9)",1,0,1,0
"(7, 9)",0,1,0,1
"(8, 9)",1,0,1,1
"(9, 9)",1,0,1,1
"(10, 9)",1,1,1,0
"(11, 9)",1,0,0,1
"(12, 9)",0,0,1,1
"(13, 9)",1,0,1,1
"(14, 9)",1,0,1,0
"(15, 9)",1,0,0,1
"(16, 9)",1,0,1,0
"(17, 9)",0,1,0,1
"(18, 9)",1,0,1,1
"(19, 9)",0,0,1,1
"(20, 9)",1,0,1,1
"(21, 9)",1,1,1,0
"(22, 9)",1,0,0,1
"(23, 9)",0,0,1,1
"(24, 9)",0,0,1,1
"(25, 9)",1,1,1,1
"(26, 9)",0,1,1,1
"(27, 9)",0,1,1,0
"(28, 9)",1,1,0,0
"(29, 9)",0,1,0,1
"(30, 9)",0,0,1,1
"(31, 9)",0,0,1,1
"(32, 9)",0,1,1,0
"(33, 9)",0,1,0,1
"(34, 9)",1,0,1,1
"(35, 9)",1,1,1,0
"(36, 9)",1,1,0,1
"(37, 9)",1,1,1,0
"(38, 9)",0,0,0,1
"(39, 9)",0,1,1,1
"(40, 9)",1,0,1,1
"(41, 9)",1,1,1,0
"(42, 9)",1,0,0,0
"(43, 9)",1,1,0,1
"(44, 9)",1,0,1,1
"(45, 9)",1,1,1,1
"(46, 9)",0,0,1,1
"(47, 9)",0,1,1,0
"(48, 9)",1,1,0,0
"(49, 9)",1,1,0,1
"(50, 9)",0,1,1,1
"(51, 9)",1,0,1,0
"(52, 9)",1,0,0,1
"(53, 9)",0,1,1,1
"(54, 9)",0,0,1,1
"(55, 9)",0,1,1,0
"(56, 9)",1,1,0,1
"(57, 9)",1,0,1,1
"(58, 9)",1,0,1,0
"(59, 9)",0,1,0,1
"(60, 9)",1,0,1,0
"(1, 10)",1,0,0,1
"(2, 10)",0,1,1,1
"(3, 10)",0,1,1,0
"(4, 10)",1,1,0,0
"(5, 10)",1,0,0,0
"(6, 10)",0,1,0,1
"(7, 10)",1,0,1,1
"(8, 10)",1,1,1,0
"(9, 10)",1,1,0,0
"(10, 10)",1,1,0,0
"(11, 10)",0,1,0,0
"(12, 10)",1,0,0,1
"(13, 10)",0,1,1,0
"(14, 10)",1,1,0,1
"(15, 10)",1,1,1,0
"(16, 10)",0,1,0,1
"(17, 10)",1,0,1,1
"(18, 10)",1,1,1,0
"(19, 10)",1,0,0,1
"(20, 10)",1,1,1,0
"(21, 10)",0,1,0,1
"(22, 10)",1,1,1,1
"(23, 10)",1,0,1,1
"(24, 10)",0,0,1,1
"(25, 10)",0,1,1,0
"(26, 10)",0,0,0,1
"(27, 10)",1,0,1,1
"(28, 10)",1,1,1,0
"(29, 10)",0,0,0,1
"(30, 10)",0,0,1,1
"(31, 10)",1,0,1,1
"(32, 10)",1,0,1,0
"(33, 10)",1,0,0,0
"(34, 10)",1,1,0,0
"(35, 10)",1,1,0,1
"(36, 10)",1,1,1,0
"(37, 10)",0,1,0,1
"(38, 10)",0,0,1,1
"(39, 10)",0,0,1,1
"(40, 10)",0,1,1,0
"(41, 10)",1,1,0,0
"(42, 10)",0,1,0,1
"(43, 10)",1,1,1,0
"(44, 10)",1,1,0,0
"(45, 10)",1,1,0,0
"(46, 10)",1,0,0,1
"(47, 10)",1,0,1,1
"(48, 10)",0,1,1,0
"(49, 10)",0,1,0,1
"(50, 10)",0,0,1,0
"(51, 10)",1,1,0,1
"(52, 10)",1,1,1,0
"(53, 10)",1,0,0,1
"(54, 10)",0,0,1,1
"(55, 10)",1,0,1,0
"(56, 10)",1,1,0,0
"(57, 10)",1,1,0,0
"(58, 10)",0,1,0,1
"(59, 10)",0,0,1,1
"(60, 10)",1,1,1,0
"(1, 11)",1,1,0,1
"(2, 11)",0,0,1,1
"(3, 11)",1,0,1,1
"(4, 11)",0,1,1,0
"(5, 11)",0,1,0,1
"(6, 11)",1,0,1,1
"(7, 11)",1,1,1,0
"(8, 11)",0,1,0,1
"(9, 11)",1,1,1,1
"(10, 11)",0,1,1,1
"(11, 11)",1,0,1,0
"(12, 11)",1,1,0,0
"(13, 11)",1,0,0,1
"(14, 11)",0,1,1,0
"(15, 11)",0,1,0,1
"(16, 11)",1,0,1,0
"(17, 11)",1,1,0,0
"(18, 11)",1,1,0,1
"(19, 11)",0,1,1,0
"(20, 11)",1,1,0,1
"(21, 11)",1,0,1,1
"(22, 11)",0,1,1,0
"(23, 11)",0,1,0,1
"(24, 11)",1,0,1,0
"(25, 11)",1,0,0,1
"(26, 11)",0,0,1,1
"(27, 11)",0,1,1,0
"(28, 11)",1,1,0,1
"(29, 11)",1,0,1,0
"(30, 11)",1,0,0,1
"(31, 11)",1,1,1,0
"(32, 11)",0,1,0,1
"(33, 11)",1,1,1,0
"(34, 11)",1,1,0,1
"(35, 11)",0,1,1,0
"(36, 11)",0,1,0,1
"(37, 11)",1,0,1,0
"(38, 11)",1,0,0,1
"(39, 11)",1,0,1,0
"(40, 11)",1,0,0,1
"(41, 11)",0,1,1,0
"(42, 11)",1,0,0,1
"(43, 11)",1,1,1,0
"(44, 11)",1,1,0,1
"(45, 11)",0,1,1,0
"(46, 11)",1,1,0,0
"(47, 11)",1,1,0,1
"(48, 11)",0,0,1,1
"(49, 11)",0,0,1,1
"(50, 11)",0,0,1,1
"(51, 11)",0,1,1,0
"(52, 11)",1,1,0,0
"(53, 11)",1,1,0,0
"(54, 11)",1,0,0,0
"(55, 11)",1,1,0,0
"(56, 11)",0,1,0,1
"(57, 11)",0,1,1,0
"(58, 11)",1,0,0,1
"(59, 11)",0,0,1,1
"(60, 11)",1,1,1,0
"(1, 12)",1,1,0,0
"(2, 12)",0,0,0,1
"(3, 12)",1,1,1,1
"(4, 12)",0,0,1,1
"(5, 12)",0,0,1,1
"(6, 12)",1,1,1,0
"(7, 12)",1,1,0,1
"(8, 12)",0,0,1,1
"(9, 12)",1,1,1,0
"(10, 12)",1,0,0,1
"(11, 12)",1,1,1,0
"(12, 12)",1,1,0,0
"(13, 12)",1,1,0,1
"(14, 12)",1,0,1,1
"(15, 12)",0,0,1,1
"(16, 12)",0,1,1,0
"(17, 12)",0,1,0,1
"(18, 12)",0,1,1,1
"(19, 12)",1,0,1,0
"(20, 12)",0,1,0,0
"(21, 12)",1,1,0,1
"(22, 12)",0,0,1,1
"(23, 12)",1,0,1,0
"(24, 12)",1,1,0,1
"(25, 12)",0,1,1,1
"(26, 12)",0,0,1,1
"(27, 12)",1,0,1,1
"(28, 12)",1,1,1,0
"(29, 12)",0,1,0,1
"(30, 12)",1,1,1,0
"(31, 12)",1,1,0,1
"(32, 12)",1,0,1,1
"(33, 12)",1,1,1,0
"(34, 12)",1,1,0,1
"(35, 12)",0,0,1,0
"(36, 12)",1,0,0,1
"(37, 12)",0,1,1,0
"(38, 12)",0,1,0,0
"(39, 12)",1,1,0,0
"(40, 12)",1,1,0,0
"(41, 12)",0,0,0,1
"(42, 12)",1,1,1,0
"(43, 12)",1,1,0,1
"(44, 12)",1,1,1,0
"(45, 12)",1,0,0,1
"(46, 12)",0,1,1,0
"(47, 12)",0,1,0,1
"(48, 12)",1,0,1,0
"(49, 12)",1,0,0,1
"(50, 12)",1,0,1,1
"(51, 12)",0,0,1,1
"(52, 12)",1,1,1,0
"(53, 12)",0,1,0,1
"(54, 12)",1,1,1,0
"(55, 12)",1,1,0,1
"(56, 12)",1,0,1,1
"(57, 12)",1,0,1,1
"(58, 12)",0,1,1,0
"(59, 12)",1,0,0,1
"(60, 12)",1,1,1,0
"(1, 13)",1,1,0,1
"(2, 13)",1,0,1,0
"(3, 13)",1,1,0,0
"(4, 13)",1,0,0,1
"(5, 13)",0,0,1,1
"(6, 13)",1,1,1,0
"(7, 13)",1,1,0,1
"(8, 13)",0,0,1,1
"(9, 13)",1,1,1,1
"(10, 13)",0,1,1,0
"(11, 13)",1,1,0,0
"(12, 13)",1,1,0,0
"(13, 13)",1,1,0,0
"(14, 13)",0,1,0,1
"(15, 13)",0,0,1,1
"(16, 13)",0,0,1,1
"(17, 13)",0,0,1,1
"(18, 13)",1,0,1,0
"(19, 13)",0,1,0,1
"(20, 13)",0,0,1,1
"(21, 13)",0,1,1,1
"(22, 13)",0,0,1,0
"(23, 13)",1,1,0,1
"(24, 13)",0,1,1,1
"(25, 13)",0,0,1,1
"(26, 13)",1,0,1,0
"(27, 13)",1,1,0,0
"(28, 13)",0,1,0,1
"(29, 13)",1,0,1,1
"(30, 13)",0,1,1,0
"(31, 13)",1,1,0,0
"(32, 13)",1,1,0,0
"(33, 13)",1,1,0,0
"(34, 13)",0,1,0,1
"(35, 13)",1,0,1,0
"(36, 13)",1,1,0,1
"(37, 13)",0,0,1,1
"(38, 13)",1,0,1,0
"(39, 13)",1,1,0,1
"(40, 13)",0,1,1,1
"(41, 13)",1,0,1,1
"(42, 13)",0,1,1,0
"(43, 13)",1,1,0,0
"(44, 13)",0,1,0,1
"(45, 13)",0,1,1,0
"(46, 13)",1,0,0,1
"(47, 13)",0,0,1,1
"(48, 13)",0,1,1,0
"(49, 13)",1,1,0,0
"(50, 13)",0,1,0,0
"(51, 13)",1,0,0,1
"(52, 13)",0,1,1,1
"(53, 13)",0,0,1,1
"(54, 13)",1,1,1,0
"(55, 13)",1,1,0,0
"(56, 13)",0,1,0,0
"(57, 13)",0,1,0,1
"(58, 13)",1,0,1,1
"(59, 13)",0,1,1,0
"(60, 13)",1,1,0,0
"(1, 14)",1,1,0,0
"(2, 14)",1,1,0,1
"(3, 14)",1,1,1,1
"(4, 14)",0,1,1,1
"(5, 14)",1,0,1,0
"(6, 14)",0,1,0,1
"(7, 14)",1,1,1,1
"(8, 14)",1,0,1,0
"(9, 14)",1,1,0,1
"(10, 14)",1,0,1,1
"(11, 14)",0,1,1,0
"(12, 14)",1,1,0,1
"(13, 14)",0,1,1,0
"(14, 14)",1,0,0,1
"(15, 14)",0,0,1,1
"(16, 14)",0,0,1,1
"(17, 14)",1,0,1,1
"(18, 14)",0,1,1,1
"(19, 14)",1,0,1,0
"(20, 14)",1,0,0,0
"(21, 14)",1,0,0,1
"(22, 14)",1,0,1,1
"(23, 14)",0,1,1,1
"(24, 14)",1,0,1,1
"(25, 14)",1,0,1,0
"(26, 14)",1,1,0,1
"(27, 14)",0,1,1,1
"(28, 14)",0,0,1,0
"(29, 14)",0,1,0,1
"(30, 14)",0,0,1,1
"(31, 14)",1,1,1,1
"(32, 14)",1,1,1,1
"(33, 14)",0,1,1,1
"(34, 14)",1,0,1,1
"(35, 14)",0,1,1,1
"(36, 14)",1,1,1,0
"(37, 14)",1,0,0,1
"(38, 14)",1,1,1,0
"(39, 14)",1,1,0,1
"(40, 14)",1,0,1,1
"(41, 14)",0,1,1,1
"(42, 14)",1,0,1,1
"(43, 14)",0,1,1,0
"(44, 14)",1,0,0,1
"(45, 14)",1,0,1,1
"(46, 14)",0,1,1,1
"(47, 14)",1,0,1,0
"(48, 14)",1,0,0,0
"(49, 14)",1,1,0,1
"(50, 14)",1,0,1,1
"(51, 14)",0,1,1,1
"(52, 14)",0,0,1,1
"(53, 14)",1,0,1,0
"(54, 14)",1,1,0,1
"(55, 14)",1,1,1,0
"(56, 14)",1,0,0,1
"(57, 14)",1,0,1,0
"(58, 14)",1,1,0,0
"(59, 14)",1,0,0,1
"(60, 14)",0,1,1,0
"(1, 15)",1,1,0,1
"(2, 15)",0,1,1,0
"(3, 15)",1,1,0,1
"(4, 15)",0,0,1,1
"(5, 15)",0,1,1,1
"(6, 15)",0,0,1,1
"(7, 15)",0,1,1,0
"(8, 15)",1,1,0,0
"(9, 15)",1,1,0,0
"(10, 15)",1,1,0,1
"(11, 15)",1,0,1,1
"(12, 15)",1,1,1,0
"(13, 15)",0,0,0,1
"(14, 15)",1,1,1,1
"(15, 15)",0,0,1,1
"(16, 15)",0,0,1,1
"(17, 15)",1,1,1,1
"(18, 15)",1,0,1,0
"(19, 15)",1,1,0,0
"(20, 15)",1,1,0,0
"(21, 15)",1,1,0,0
"(22, 15)",0,1,0,0
"(23, 15)",1,0,0,1
"(24, 15)",1,1,1,0
"(25, 15)",0,1,0,1
"(26, 15)",1,1,1,1
"(27, 15)",0,0,1,1
"(28, 15)",1,0,1,0
"(29, 15)",1,0,0,1
"(30, 15)",0,0,1,1
"(31, 15)",1,1,1,0
"(32, 15)",1,1,0,1
"(33, 15)",1,0,1,1
