  cell  ,E,W,N,S
"(43, 5)",1,0,1,1
"(44, 5)",1,0,1,0
"(45, 5)",0,1,0,1
"(46, 5)",0,0,1,0
"(47, 5)",0,1,0,1
"(48, 5)",1,0,1,0
"(49, 5)",0,1,0,1
"(50, 5)",1,1,1,0
"(51, 5)",0,1,0,1
"(52, 5)",0,1,1,0
"(53, 5)",0,1,0,1
"(54, 5)",1,0,1,1
"(55, 5)",1,0,1,0
"(56, 5)",1,1,0,0
"(57, 5)",1,1,0,0
"(58, 5)",0,1,0,1
"(59, 5)",0,0,1,1
"(60, 5)",1,0,1,0
"(1, 6)",1,1,0,1
"(2, 6)",1,0,1,0
"(3, 6)",1,0,0,1
"(4, 6)",1,0,1,0
"(5, 6)",1,1,0,1
"(6, 6)",1,0,1,0
"(7, 6)",1,1,0,0
"(8, 6)",0,0,0,1
"(9, 6)",0,0,1,1
"(10, 6)",1,0,1,1
"(11, 6)",0,1,1,0
"(12, 6)",0,1,0,1
"(13, 6)",0,1,1,0
"(14, 6)",1,1,0,0
"(15, 6)",1,1,0,0
"(16, 6)",0,1,0,1
"(17, 6)",0,0,1,1
"(18, 6)",0,1,1,0
"(19, 6)",1,1,0,0
"(20, 6)",1,0,0,1
"(21, 6)",1,1,1,0
"(22, 6)",1,0,0,1
"(23, 6)",0,0,1,1
"(24, 6)",1,0,1,0
"(25, 6)",1,1,0,1
"(26, 6)",0,1,1,0
"(27, 6)",1,0,0,1
"(28, 6)",0,1,1,0
"(29, 6)",1,1,0,0
"(30, 6)",1,1,0,0
"(31, 6)",1,1,0,0
"(32, 6)",1,1,0,0
"(33, 6)",1,1,0,0
"(34, 6)",1,0,0,0
"(35, 6)",1,1,0,1
"(36, 6)",0,0,1,1
"(37, 6)",0,0,1,1
"(38, 6)",0,0,1,1
"(39, 6)",1,0,1,0
"(40, 6)",1,0,0,1
"(41, 6)",0,0,1,1
"(42, 6)",1,0,1,1
"(43, 6)",1,1,1,0
"(44, 6)",0,1,0,1
"(45, 6)",0,0,1,1
"(46, 6)",0,0,1,1
"(47, 6)",1,0,1,0
"(48, 6)",1,1,0,1
"(49, 6)",0,0,1,1
"(50, 6)",0,1,1,1
"(51, 6)",1,0,1,1
"(52, 6)",1,0,1,0
"(53, 6)",1,0,0,1
"(54, 6)",0,1,1,0
"(55, 6)",1,1,0,0
"(56, 6)",1,1,0,0
"(57, 6)",0,1,0,1
"(58, 6)",1,0,1,0
"(59, 6)",1,0,0,0
"(60, 6)",1,1,0,0
"(1, 7)",1,1,0,0
"(2, 7)",1,1,0,0
"(3, 7)",1,1,0,0
"(4, 7)",1,1,0,1
"(5, 7)",1,1,1,0
"(6, 7)",1,1,0,0
"(7, 7)",0,1,0,1
"(8, 7)",1,0,1,0
"(9, 7)",1,0,0,1
"(10, 7)",0,1,1,0
"(11, 7)",1,0,0,0
"(12, 7)",1,0,0,1
"(13, 7)",1,0,1,0
"(14, 7)",1,1,0,0
"(15, 7)",0,1,0,1
"(16, 7)",1,0,1,0
"(17, 7)",1,0,0,1
"(18, 7)",1,0,1,0
"(19, 7)",1,1,0,0
"(20, 7)",1,1,0,0
"(21, 7)",1,1,0,0
"(22, 7)",0,1,0,1
"(23, 7)",1,0,1,0
"(24, 7)",1,1,0,0
"(25, 7)",0,1,0,1
"(26, 7)",0,0,1,1
"(27, 7)",1,1,1,0
"(28, 7)",1,0,0,0
"(29, 7)",1,1,0,0
"(30, 7)",1,1,0,1
"(31, 7)",1,1,1,1
"(32, 7)",0,1,1,0
"(33, 7)",1,1,0,1
"(34, 7)",0,1,1,1
"(35, 7)",1,1,1,1
"(36, 7)",0,0,1,1
"(37, 7)",0,0,1,1
"(38, 7)",1,0,1,0
"(39, 7)",0,1,0,1
"(40, 7)",0,1,1,0
"(41, 7)",1,0,0,1
"(42, 7)",0,1,1,0
"(43, 7)",0,1,0,1
"(44, 7)",1,0,1,0
"(45, 7)",1,0,0,1
"(46, 7)",1,0,1,0
"(47, 7)",1,1,0,0
"(48, 7)",0,1,0,1
"(49, 7)",1,0,1,0
"(50, 7)",0,0,0,1
"(51, 7)",1,1,1,0
"(52, 7)",0,1,0,1
"(53, 7)",1,1,1,0
"(54, 7)",1,0,0,1
"(55, 7)",0,1,1,1
"(56, 7)",0,1,1,0
"(57, 7)",0,0,0,1
"(58, 7)",1,1,1,0
"(59, 7)",1,1,0,0
"(60, 7)",1,1,0,0
"(1, 8)",1,1,0,1
"(2, 8)",0,1,1,0
"(3, 8)",1,1,0,1
"(4, 8)",0,1,1,0
"(5, 8)",1,1,0,0
"(6, 8)",0,1,0,1
"(7, 8)",1,0,1,0
"(8, 8)",0,1,0,1
"(9, 8)",0,1,1,0
"(10, 8)",1,0,0,1
"(11, 8)",0,1,1,1
"(12, 8)",0,1,1,0
"(13, 8)",0,1,0,1
"(14, 8)",0,1,1,1
"(15, 8)",1,0,1,0
"(16, 8)",0,1,0,1
"(17, 8)",0,1,1,0
"(18, 8)",1,1,0,0
"(19, 8)",1,1,0,0
"(20, 8)",0,1,0,1
"(21, 8)",0,1,1,0
"(22, 8)",1,0,0,1
"(23, 8)",0,1,1,0
"(24, 8)",1,1,0,0
"(25, 8)",1,0,0,1
"(26, 8)",1,0,1,0
"(27, 8)",1,1,0,1
"(28, 8)",0,1,1,1
"(29, 8)",0,1,1,0
"(30, 8)",1,1,0,0
"(31, 8)",1,1,0,0
"(32, 8)",1,0,0,1
"(33, 8)",0,1,1,1
"(34, 8)",0,0,1,1
"(35, 8)",1,1,1,0
"(36, 8)",1,0,0,1
"(37, 8)",1,0,1,0
"(38, 8)",0,1,0,1
"(39, 8)",1,0,1,0
"(40, 8)",1,0,0,0
"(41, 8)",0,1,0,1
"(42, 8)",0,0,1,1
"(43, 8)",1,0,1,0
"(44, 8)",0,1,0,0
"(45, 8)",1,1,0,0
"(46, 8)",1,1,0,0
"(47, 8)",1,1,0,0
"(48, 8)",1,0,0,1
"(49, 8)",0,1,1,0
"(50, 8)",1,0,0,1
"(51, 8)",0,1,1,0
"(52, 8)",1,0,0,1
"(53, 8)",0,1,1,0
"(54, 8)",0,1,0,1
"(55, 8)",1,0,1,0
"(56, 8)",1,0,0,1
"(57, 8)",1,0,1,0
"(58, 8)",0,1,0,1
"(59, 8)",0,1,1,0
"(60, 8)",1,1,0,0
"(1, 9)",1,1,0,0
"(2, 9)",1,0,0,1
"(3, 9)",0,1,1,0
"(4, 9)",1,0,0,1
"(5, 9)",0,1,1,1
"(6, 9)",0,0,1,0
"(7, 9)",0,1,0,1
"(8, 9)",1,0,1,0
"(9, 9)",0,0,0,1
"(10, 9)",0,1,1,1
"(11, 9)",0,0,1,0
"(12, 9)",1,0,0,1
"(13, 9)",1,0,1,0
"(14, 9)",1,0,0,1
"(15, 9)",0,1,1,0
"(16, 9)",1,0,0,1
"(17, 9)",1,0,1,0
"(18, 9)",1,1,0,0
"(19, 9)",0,1,0,1
"(20, 9)",1,0,1,0
"(21, 9)",1,0,0,1
"(22, 9)",0,1,1,1
"(23, 9)",0,0,1,1
"(24, 9)",1,1,1,0
"(25, 9)",0,1,0,0
"(26, 9)",1,1,0,0
"(27, 9)",0,1,0,1
"(28, 9)",0,0,1,1
"(29, 9)",1,0,1,1
"(30, 9)",0,1,1,0
"(31, 9)",1,1,0,0
"(32, 9)",0,1,0,1
"(33, 9)",0,0,1,1
"(34, 9)",1,0,1,0
"(35, 9)",0,1,0,1
"(36, 9)",0,1,1,0
"(37, 9)",0,1,0,1
"(38, 9)",1,0,1,0
"(39, 9)",1,1,0,0
"(40, 9)",1,1,0,1
"(41, 9)",1,0,1,1
"(42, 9)",1,0,1,0
"(43, 9)",1,1,0,0
"(44, 9)",1,0,0,1
"(45, 9)",0,1,1,0
"(46, 9)",0,1,0,1
"(47, 9)",0,1,1,0
"(48, 9)",1,1,0,1
"(49, 9)",1,0,1,0
"(50, 9)",1,1,0,1
"(51, 9)",1,0,1,0
"(52, 9)",1,1,0,0
"(53, 9)",1,0,0,1
"(54, 9)",0,0,1,1
"(55, 9)",0,1,1,0
"(56, 9)",1,1,0,0
"(57, 9)",0,1,0,1
"(58, 9)",0,0,1,1
"(59, 9)",0,0,1,1
"(60, 9)",0,1,1,0
"(1, 10)",1,1,0,1
"(2, 10)",0,1,1,1
"(3, 10)",1,0,1,0
"(4, 10)",1,1,0,1
"(5, 10)",0,0,1,1
"(6, 10)",0,0,1,1
"(7, 10)",1,0,1,0
"(8, 10)",0,1,0,1
"(9, 10)",1,0,1,1
"(10, 10)",0,0,1,0
"(11, 10)",1,0,0,1
"(12, 10)",0,1,1,0
"(13, 10)",1,1,0,0
"(14, 10)",0,1,0,1
"(15, 10)",0,0,1,0
"(16, 10)",1,1,0,0
"(17, 10)",0,1,0,1
"(18, 10)",0,1,1,0
"(19, 10)",1,0,0,0
"(20, 10)",0,1,0,1
"(21, 10)",0,1,1,0
"(22, 10)",1,0,0,1
"(23, 10)",1,0,1,0
"(24, 10)",0,1,0,1
"(25, 10)",1,0,1,0
"(26, 10)",0,1,0,1
"(27, 10)",0,0,1,1
"(28, 10)",1,0,1,1
"(29, 10)",1,1,1,1
"(30, 10)",0,0,1,0
"(31, 10)",0,1,0,1
"(32, 10)",1,0,1,0
"(33, 10)",1,0,0,0
"(34, 10)",0,1,0,1
"(35, 10)",1,0,1,0
"(36, 10)",1,0,0,1
"(37, 10)",0,0,1,1
"(38, 10)",1,1,1,0
"(39, 10)",1,1,0,1
"(40, 10)",1,1,1,0
"(41, 10)",1,1,0,0
"(42, 10)",0,1,0,1
"(43, 10)",0,1,1,0
"(44, 10)",1,1,0,0
"(45, 10)",0,0,0,1
"(46, 10)",0,0,1,1
"(47, 10)",1,0,1,0
"(48, 10)",1,1,0,0
"(49, 10)",1,1,0,0
"(50, 10)",0,1,0,0
"(51, 10)",0,1,0,1
"(52, 10)",0,1,1,0
"(53, 10)",1,1,0,0
"(54, 10)",1,0,0,1
"(55, 10)",1,0,1,0
"(56, 10)",0,1,0,1
"(57, 10)",0,0,1,1
"(58, 10)",0,0,1,1
"(59, 10)",0,0,1,1
"(60, 10)",1,0,1,0
"(1, 11)",1,1,0,0
"(2, 11)",1,0,0,1
"(3, 11)",0,1,1,0
"(4, 11)",1,1,0,0
"(5, 11)",1,0,0,1
"(6, 11)",1,0,1,0
"(7, 11)",1,1,0,1
"(8, 11)",1,0,1,0
"(9, 11)",0,1,0,1
"(10, 11)",1,0,1,0
"(11, 11)",0,1,0,1
"(12, 11)",1,0,1,0
"(13, 11)",0,1,0,1
"(14, 11)",0,0,1,1
"(15, 11)",0,0,1,1
"(16, 11)",1,1,1,1
"(17, 11)",1,0,1,1
"(18, 11)",0,0,1,1
"(19, 11)",0,1,1,1
"(20, 11)",1,0,1,0
"(21, 11)",1,0,0,1
"(22, 11)",1,1,1,0
"(23, 11)",0,1,0,1
"(24, 11)",0,0,1,1
"(25, 11)",0,1,1,0
"(26, 11)",1,0,0,1
"(27, 11)",1,0,1,0
"(28, 11)",0,1,0,0
"(29, 11)",0,1,0,1
"(30, 11)",1,0,1,1
"(31, 11)",0,0,1,1
"(32, 11)",0,1,1,1
"(33, 11)",0,1,1,1
"(34, 11)",1,0,1,0
"(35, 11)",1,1,0,0
"(36, 11)",0,1,0,1
"(37, 11)",1,0,1,0
"(38, 11)",0,1,0,0
"(39, 11)",1,1,0,0
"(40, 11)",1,1,0,0
"(41, 11)",0,1,0,1
"(42, 11)",0,0,1,1
"(43, 11)",0,0,1,1
"(44, 11)",0,1,1,0
"(45, 11)",1,0,0,1
"(46, 11)",0,0,1,1
"(47, 11)",1,1,1,0
"(48, 11)",1,1,0,0
"(49, 11)",0,1,0,1
"(50, 11)",0,0,1,1
"(51, 11)",1,0,1,0
"(52, 11)",1,0,0,1
"(53, 11)",0,1,1,0
"(54, 11)",1,1,0,0
"(55, 11)",1,1,0,1
"(56, 11)",0,0,1,0
"(57, 11)",1,0,0,1
"(58, 11)",1,0,1,0
"(59, 11)",1,0,0,1
"(60, 11)",0,1,1,0
"(1, 12)",1,1,0,0
"(2, 12)",1,1,0,0
"(3, 12)",1,0,0,1
"(4, 12)",0,1,1,1
"(5, 12)",1,1,1,0
"(6, 12)",1,1,0,0
"(7, 12)",0,1,0,0
"(8, 12)",1,1,0,1
"(9, 12)",1,0,1,0
"(10, 12)",0,1,0,1
"(11, 12)",0,0,1,1
"(12, 12)",0,1,1,0
"(13, 12)",0,0,0,1
"(14, 12)",1,0,1,1
"(15, 12)",1,0,1,1
"(16, 12)",0,1,1,0
"(17, 12)",1,1,0,1
"(18, 12)",0,0,1,1
"(19, 12)",1,0,1,0
"(20, 12)",0,1,0,0
"(21, 12)",1,1,0,0
"(22, 12)",1,1,0,0
"(23, 12)",1,0,0,1
"(24, 12)",1,0,1,0
"(25, 12)",1,0,0,1
"(26, 12)",0,1,1,0
"(27, 12)",0,1,0,1
"(28, 12)",0,0,1,1
"(29, 12)",1,0,1,0
"(30, 12)",1,1,0,0
"(31, 12)",1,0,0,1
"(32, 12)",1,0,1,0
"(33, 12)",0,0,0,1
"(34, 12)",0,1,1,0
"(35, 12)",1,1,0,0
"(36, 12)",1,0,0,0
"(37, 12)",0,1,0,1
"(38, 12)",0,0,1,1
"(39, 12)",0,1,1,0
"(40, 12)",0,1,0,1
"(41, 12)",0,0,1,1
"(42, 12)",1,0,1,1
"(43, 12)",1,0,1,0
"(44, 12)",0,0,0,1
"(45, 12)",1,1,1,1
"(46, 12)",1,0,1,1
"(47, 12)",0,1,1,0
"(48, 12)",0,1,0,1
"(49, 12)",1,0,1,0
"(50, 12)",1,0,0,0
"(51, 12)",1,1,0,0
"(52, 12)",1,1,0,0
"(53, 12)",1,0,0,1
"(54, 12)",0,1,1,0
"(55, 12)",0,1,0,1
"(56, 12)",0,0,1,1
"(57, 12)",0,1,1,0
"(58, 12)",0,1,0,1
"(59, 12)",0,1,1,0
"(60, 12)",1,0,0,0
"(1, 13)",1,1,0,1
"(2, 13)",0,1,1,0
"(3, 13)",0,1,0,1
"(4, 13)",0,0,1,1
"(5, 13)",1,1,1,0
"(6, 13)",0,1,0,1
"(7, 13)",1,0,1,0
"(8, 13)",1,1,0,0
"(9, 13)",0,1,0,1
"(10, 13)",0,0,1,1
"(11, 13)",1,0,1,1
"(12, 13)",0,0,1,1
"(13, 13)",1,0,1,0
"(14, 13)",1,1,0,0
"(15, 13)",1,1,0,0
"(16, 13)",1,0,0,1
"(17, 13)",0,1,1,0
"(18, 13)",1,0,0,1
"(19, 13)",0,1,1,1
"(20, 13)",1,0,1,1
"(21, 13)",1,1,1,0
"(22, 13)",1,1,0,1
"(23, 13)",0,1,1,0
"(24, 13)",0,1,0,1
"(25, 13)",0,1,1,0
"(26, 13)",1,0,0,1
"(27, 13)",0,0,1,1
"(28, 13)",1,0,1,1
"(29, 13)",1,1,1,0
"(30, 13)",0,1,0,0
"(31, 13)",1,1,0,0
"(32, 13)",0,1,0,1
"(33, 13)",0,0,1,1
"(34, 13)",0,0,1,1
"(35, 13)",0,1,1,0
"(36, 13)",1,1,0,1
"(37, 13)",1,0,1,1
"(38, 13)",1,0,1,0
"(39, 13)",1,0,0,1
"(40, 13)",1,0,1,1
"(41, 13)",0,0,1,1
"(42, 13)",0,1,1,0
"(43, 13)",0,1,0,1
"(44, 13)",1,0,1,0
"(45, 13)",1,1,0,0
"(46, 13)",0,1,0,0
"(47, 13)",1,0,0,1
"(48, 13)",0,0,1,1
"(49, 13)",0,1,1,0
"(50, 13)",1,1,0,0
"(51, 13)",1,1,0,1
"(52, 13)",1,1,1,0
"(53, 13)",1,1,0,0
"(54, 13)",1,0,0,1
"(55, 13)",0,0,1,1
"(56, 13)",0,0,1,1
"(57, 13)",1,0,1,1
"(58, 13)",1,0,1,0
"(59, 13)",0,0,0,1
"(60, 13)",1,1,1,0
"(1, 14)",1,1,0,0
"(2, 14)",0,0,0,1
"(3, 14)",1,0,1,1
"(4, 14)",0,0,1,1
"(5, 14)",0,1,1,0
"(6, 14)",1,0,0,1
"(7, 14)",0,1,1,0
"(8, 14)",1,1,0,0
"(9, 14)",1,0,0,1
"(10, 14)",1,0,1,0
"(11, 14)",0,1,0,1
"(12, 14)",1,0,1,0
"(13, 14)",1,1,0,1
"(14, 14)",0,1,1,0
"(15, 14)",0,1,0,0
"(16, 14)",1,1,0,0
"(17, 14)",1,0,0,0
"(18, 14)",1,1,0,0
"(19, 14)",1,0,0,1
"(20, 14)",0,1,1,0
"(21, 14)",1,1,0,1
"(22, 14)",1,1,1,1
"(23, 14)",1,0,1,1
"(24, 14)",1,0,1,1
"(25, 14)",0,0,1,1
"(26, 14)",0,1,1,0
"(27, 14)",1,0,0,1
"(28, 14)",0,1,1,0
"(29, 14)",1,1,0,0
"(30, 14)",1,0,0,1
"(31, 14)",0,1,1,0
"(32, 14)",1,0,0,1
"(33, 14)",1,0,1,0
"(34, 14)",1,0,0,1
"(35, 14)",0,0,1,1
"(36, 14)",0,1,1,0
"(37, 14)",1,1,0,0
"(38, 14)",0,1,0,0
"(39, 14)",1,1,0,0
"(40, 14)",0,1,0,1
"(41, 14)",0,0,1,1
"(42, 14)",1,0,1,0
"(43, 14)",1,0,0,0
"(44, 14)",1,1,0,0
"(45, 14)",0,1,0,1
"(46, 14)",1,0,1,0
"(47, 14)",1,1,0,1
"(48, 14)",1,0,1,0
"(49, 14)",0,0,0,1
"(50, 14)",1,1,1,0
"(51, 14)",1,1,0,0
"(52, 14)",0,1,0,1
"(53, 14)",0,1,1,0
"(54, 14)",0,1,0,1
"(55, 14)",1,0,1,1
"(56, 14)",0,0,1,0
"(57, 14)",1,1,0,0
"(58, 14)",1,1,0,0
"(59, 14)",1,0,0,1
"(60, 14)",0,1,1,0
"(1, 15)",1,1,0,0
"(2, 15)",1,0,0,1
"(3, 15)",0,1,1,0
"(4, 15)",1,0,0,1
"(5, 15)",1,0,1,0
"(6, 15)",1,1,0,0
"(7, 15)",1,0,0,0
"(8, 15)",0,1,0,1
"(9, 15)",1,1,1,0
"(10, 15)",0,1,0,1
"(11, 15)",1,0,1,0
"(12, 15)",1,1,0,0
"(13, 15)",1,1,0,0
"(14, 15)",1,0,0,1
"(15, 15)",0,0,1,1
"(16, 15)",0,1,1,0
"(17, 15)",1,1,0,1
"(18, 15)",0,1,1,0
"(19, 15)",1,1,0,0
"(20, 15)",0,0,0,1
"(21, 15)",1,1,1,0
"(22, 15)",1,1,0,0
"(23, 15)",1,1,0,0
"(24, 15)",1,1,0,0
"(25, 15)",0,0,0,1
"(26, 15)",0,0,1,1
"(27, 15)",0,1,1,0
"(28, 15)",1,0,0,1
"(29, 15)",1,1,1,1
"(30, 15)",1,1,1,0
"(31, 15)",1,0,0,1
"(32, 15)",0,1,1,0
"(33, 15)",1,1,0,0
